STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,TOTAL_CRIMES,CRIME_ZONE,ZONE_CODE
A & N ISLANDS,2001,13.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,19.0,1.0,9.0,0.0,52.0,Low,0
A & N ISLANDS,2002,17.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,17.0,3.0,4.0,0.0,52.0,Low,0
A & N ISLANDS,2003,21.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,9.0,2.0,7.0,0.0,51.0,Low,0
A & N ISLANDS,2004,15.0,1.0,10.0,0.0,10.0,3.0,3.0,0.0,0.0,6.0,3.0,5.0,0.0,56.0,Low,0
A & N ISLANDS,2005,14.0,3.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,11.0,1.0,5.0,0.0,46.0,Low,0
A & N ISLANDS,2006,4.0,4.0,6.0,0.0,6.0,5.0,5.0,0.0,0.0,14.0,4.0,7.0,0.0,55.0,Low,0
A & N ISLANDS,2007,15.0,19.0,3.0,0.0,3.0,12.0,9.0,3.0,1.0,21.0,2.0,18.0,0.0,106.0,Low,0
A & N ISLANDS,2008,8.0,11.0,12.0,0.0,12.0,17.0,13.0,4.0,2.0,24.0,3.0,26.0,0.0,132.0,Low,0
A & N ISLANDS,2009,15.0,4.0,18.0,0.0,18.0,16.0,14.0,2.0,1.0,30.0,7.0,21.0,0.0,146.0,Low,0
A & N ISLANDS,2010,9.0,7.0,24.0,0.0,24.0,10.0,8.0,2.0,0.0,31.0,10.0,9.0,0.0,134.0,Low,0
A & N ISLANDS,2011,14.0,6.0,13.0,0.0,13.0,15.0,12.0,3.0,0.0,15.0,3.0,5.0,0.0,99.0,Low,0
A & N ISLANDS,2012,15.0,3.0,12.0,0.0,12.0,8.0,7.0,1.0,2.0,17.0,4.0,5.0,0.0,86.0,Low,0
A & N ISLANDS,2020,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,3.0,2.0,0.0,24.0,Low,0
A&N ISLANDS,2019,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,1.0,0.0,42.0,Low,0
ANDHRA PRADESH,2001,2602.0,1555.0,871.0,0.0,871.0,1182.0,765.0,417.0,420.0,3544.0,2271.0,5791.0,7.0,20296.0,High,2
ANDHRA PRADESH,2002,2525.0,1644.0,1002.0,0.0,1002.0,1302.0,854.0,448.0,449.0,3799.0,2024.0,7018.0,0.0,22067.0,High,2
ANDHRA PRADESH,2003,2667.0,1678.0,946.0,0.0,946.0,1485.0,931.0,554.0,466.0,4128.0,2286.0,8167.0,5.0,24259.0,High,2
